,hidden_nodes,learning_rate,epochs,performance,training_time
481,300.0,0.01,10.0,0.9712,690.18
482,300.0,0.01,15.0,0.9749,1036.67
483,300.0,0.01,2.0,0.9442,275.75
484,300.0,0.01,20.0,0.9783,1371.57
485,300.0,0.01,3.0,0.9548,302.02
486,300.0,0.01,4.0,0.9611,295.9
487,300.0,0.01,5.0,0.9637,378.83
488,300.0,0.01,6.0,0.9669,450.71
489,300.0,0.01,7.0,0.9692,480.52
490,300.0,0.01,8.0,0.9689,562.78
491,300.0,0.01,9.0,0.9716,622.89
492,300.0,0.1,1.0,0.9588,70.4
493,300.0,0.1,10.0,0.975,616.99
494,300.0,0.1,15.0,0.9771,904.41
495,300.0,0.1,2.0,0.968,143.47
496,300.0,0.1,20.0,0.9735,1225.15
497,300.0,0.1,3.0,0.9725,228.55
498,300.0,0.1,4.0,0.9734,303.2
499,300.0,0.1,5.0,0.9761,308.62
500,300.0,0.1,6.0,0.9753,374.99
501,300.0,0.1,7.0,0.9737,436.86
502,300.0,0.1,8.0,0.9743,477.46
503,300.0,0.1,9.0,0.9757,545.26
504,300.0,0.2,1.0,0.9629,204.29
505,300.0,0.2,10.0,0.9701,2280.09
506,300.0,0.2,15.0,0.9685,3367.51
507,300.0,0.2,2.0,0.9659,418.31
508,300.0,0.2,20.0,0.9656,4477.5
509,300.0,0.2,3.0,0.9704,780.31
510,300.0,0.2,4.0,0.9706,460.12
511,300.0,0.2,5.0,0.9701,956.77
512,300.0,0.2,6.0,0.968,1173.1
513,300.0,0.2,7.0,0.9672,1312.32
514,300.0,0.2,8.0,0.9708,1486.59
515,300.0,0.2,9.0,0.9686,1742.19
516,300.0,0.3,1.0,0.9487,201.36
517,300.0,0.3,10.0,0.96,648.85
518,300.0,0.3,15.0,0.956,987.35
519,300.0,0.3,2.0,0.9603,402.17
520,300.0,0.3,20.0,0.9487,1295.01
521,300.0,0.3,3.0,0.9622,612.76
522,300.0,0.3,4.0,0.9592,807.87
523,300.0,0.3,5.0,0.9592,893.39
524,300.0,0.3,6.0,0.9644,724.16
525,300.0,0.3,7.0,0.9595,501.46
526,300.0,0.3,8.0,0.9608,515.06
527,300.0,0.3,9.0,0.9622,581.42
528,300.0,0.4,1.0,0.9486,68.47
529,300.0,0.4,10.0,0.9531,580.41
530,300.0,0.4,15.0,0.9484,865.92
531,300.0,0.4,2.0,0.9471,137.48
532,300.0,0.4,20.0,0.9469,1140.68
533,300.0,0.4,3.0,0.9461,213.2
534,300.0,0.4,4.0,0.9468,270.86
535,300.0,0.4,5.0,0.9504,347.9
536,300.0,0.4,6.0,0.9529,414.4
537,300.0,0.4,7.0,0.9533,445.27
538,300.0,0.4,8.0,0.949,499.14
539,300.0,0.4,9.0,0.9516,525.13
540,300.0,0.5,1.0,0.9346,58.33
541,300.0,0.5,10.0,0.9385,558.09
542,300.0,0.5,15.0,0.9364,816.69
543,300.0,0.5,2.0,0.9355,117.64
544,300.0,0.5,20.0,0.9329,1116.2
545,300.0,0.5,3.0,0.9396,178.33
546,300.0,0.5,4.0,0.9454,236.97
547,300.0,0.5,5.0,0.9466,287.58
548,300.0,0.5,6.0,0.9424,344.73
549,300.0,0.5,7.0,0.9415,409.97
550,300.0,0.5,8.0,0.9361,442.98
551,300.0,0.5,9.0,0.9444,494.48
552,300.0,0.6,1.0,0.9202,200.15
553,300.0,0.6,10.0,0.9358,1956.2
554,300.0,0.6,15.0,0.9234,3348.87
555,300.0,0.6,2.0,0.9159,383.05
556,300.0,0.6,20.0,0.9059,4704.15
557,300.0,0.6,3.0,0.9238,752.36
558,300.0,0.6,4.0,0.8974,460.14
559,300.0,0.6,5.0,0.9064,585.66
560,300.0,0.6,6.0,0.9149,709.59
561,300.0,0.6,7.0,0.9042,945.75
562,300.0,0.6,8.0,0.9205,1519.15
563,300.0,0.6,9.0,0.913,1587.16
564,300.0,0.7,1.0,0.894,183.63
565,300.0,0.7,10.0,0.9021,642.81
566,300.0,0.7,15.0,0.9018,955.85
567,300.0,0.7,2.0,0.8434,379.02
568,300.0,0.7,20.0,0.9103,1291.26
569,300.0,0.7,3.0,0.9233,587.28
570,300.0,0.7,4.0,0.8968,762.1
571,300.0,0.7,5.0,0.9035,912.72
572,300.0,0.7,6.0,0.8752,1088.66
573,300.0,0.7,7.0,0.893,632.12
574,300.0,0.7,8.0,0.8973,683.53
575,300.0,0.7,9.0,0.9209,612.71
576,300.0,0.8,1.0,0.8612,65.22
577,300.0,0.8,10.0,0.8748,620.33
578,300.0,0.8,15.0,0.9022,961.59
579,300.0,0.8,2.0,0.8459,134.66
580,300.0,0.8,20.0,0.8744,1276.97
581,300.0,0.8,3.0,0.8694,201.02
582,300.0,0.8,4.0,0.872,268.54
583,300.0,0.8,5.0,0.8537,332.42
584,300.0,0.8,6.0,0.884,400.8
585,300.0,0.8,7.0,0.8766,442.02
586,300.0,0.8,8.0,0.8812,516.48
587,300.0,0.8,9.0,0.911,549.62
588,300.0,0.9,1.0,0.8317,63.16
589,300.0,0.9,10.0,0.8831,651.49
590,300.0,0.9,15.0,0.8735,952.99
591,300.0,0.9,2.0,0.8423,128.23
592,300.0,0.9,20.0,0.901,1251.29
593,300.0,0.9,3.0,0.8517,192.68
594,300.0,0.9,4.0,0.8603,257.64
595,300.0,0.9,5.0,0.8636,315.66
596,300.0,0.9,6.0,0.8209,385.17
597,300.0,0.9,7.0,0.8381,460.78
598,300.0,0.9,8.0,0.8488,505.2
599,300.0,0.9,9.0,0.8466,577.83
600,400.0,0.01,1.0,0.9223,221.53
601,400.0,0.01,10.0,0.9735,3399.09
